#2kb-http 2kb-quic 4kb-http 4kb-quic 8kb-http 8kb-quic 16kb-http 16kb-quic 32kb-http 32kb-quic 64kb-http 64kb-quic 128kb-http 128kb-quic 256kb-http 256kb-quic 512kb-http 512kb-quic
3430302.32281821 322541.0449730767 358228.78999039857 392472.1030045943 353336.69446715683 278374.1796934109 287493.072340397 264679.83684957126 308660.4595167284 321450.60716437007 291952.685682356 317161.9777554135 391871.8454819951 393994.84387068957 335804.017741451 353992.33684339933 313379.8209640605 302378.1664751867
3693311.515675807 325135.33910988615 370033.4670393289 352501.48628340155 364471.8040137827 295608.5313088605 292008.93533369387 255597.36358408537 207599.0637123792 230850.3829750057 282490.2689599633 288497.2335709759 293389.40859692346 298648.50087125285 302279.17410627473 314180.9188277235 348156.18723094155 353883.3464007511
3324522.4521351866 388827.23239052424 330396.1392884934 316963.2673581889 369338.8992942056 295725.1472393804 334064.4742830393 329234.343480741 207605.5965377084 213655.24091336946 255174.07313765498 259782.79806118776 304202.1556523401 300107.79677451507 309867.10632021603 292155.26356602274 314966.78628530086 315818.89187182044
3711475.481460955 323832.9962660651 330193.73564067506 392397.8744165337 471882.36787390796 353526.2600107295 321183.2757213163 215672.6399415015 314814.4616108354 320935.1436350662 315440.7813645386 321914.27873267734 377402.4226878803 380450.99261133745 256087.09782144424 297240.82971915475 228660.18868501336 237904.65465656747
3675324.4729727483 379353.90384384437 496716.96937784867 435375.5798269589 444844.187380318 351926.9333980051 216774.17700414773 215732.0769557755 281015.1818710362 291996.19234025356 287654.81259863795 307302.72086785943 244261.37396040774 244764.59087614334 245974.67525363935 254111.62691710296 256253.21533003633 259235.89423739185
3488443.478175268 471829.3879921062 314744.5253078072 386441.94722391135 301264.8231172288 238096.61203626925 320260.05201658304 325866.7530205607 270382.150100855 295210.6847744668 368926.31920845323 292384.91320651484 277317.7758829011 265650.07050679787 260296.5468699066 255425.60215725467 227216.6474086298 230885.91898833905
3651612.5240882053 272526.90060854435 313668.4389710772 284421.9030779857 299014.90193765954 349985.1465375066 320358.9351754062 294642.6963080625 256510.95359271954 266174.15709984954 386807.3814844346 395162.2138003265 319812.3365409971 324989.28088850586 265894.40722930164 270852.6590955183 250608.2376233542 249059.7512599083
3554159.0441679964 280079.9428484386 487893.1880163822 465873.36826507375 420336.94858614483 352152.3751561112 298316.23216638877 297560.00463867624 320426.2631657478 325938.65174049215 294360.1818468115 298825.49099922384 313689.41669608926 321904.1213086132 283133.21924550686 269499.94500103465 270657.45530363935 274363.7654808423
3565354.6352529824 459956.24904177705 443211.0273312405 428453.44031075365 402181.19330202386 320531.75675947603 269208.3160452358 263919.21390794683 286447.4781558404 315599.7005134811 294265.33253568003 298775.1273262904 323463.6157343295 312279.26458204247 287209.9705621641 308736.1013252783 363200.36453539255 340658.5338442331
3651612.5240882053 377311.07215196325 404806.61472374934 390147.5905563875 401489.82509160077 290423.69463660556 268964.06512729026 283055.2538340464 286417.630322234 299422.5552324396 372595.2410150128 316192.63397286244 344519.0274207703 358262.660942393 302041.145197028 321830.33335830306 350543.7543752195 338590.74641152855
3379104.581323229 382877.9673160055 401078.9641804645 391620.2650323246 366265.8971852098 287838.5927960356 327765.6018396126 328615.6921270043 389382.72544810874 405733.14580651687 304937.2067042959 381336.3719439528 318687.4804115116 330193.240465498 279352.200790779 262765.47131746286 314646.9006070265 327428.9089850475
3587956.107596553 387322.6545933943 397199.7049371742 358500.341349511 381678.69853755215 352137.33321881876 298428.8484587888 298662.83916815306 294524.70628163 321904.5753467456 240159.3928180244 244355.94421274943 298889.04072915047 305483.5944132019 320208.26325048786 314405.076641192 253039.698058011 274489.58278763853
3440728.8511239383 381142.3332413128 501395.3453838713 431303.26671655435 445527.76495879825 367616.2469642775 302623.1838588897 297737.85073167726 291796.78236408 306510.6548939177 252338.0984711439 256658.9841630966 309355.8405909915 295613.3784315796 278290.51415058714 320712.76032325014 281795.51926231093 257215.96281996046
3693311.515675807 374154.4920457338 445592.64795914805 482165.6727942577 404580.888872248 318366.08606174245 409698.9137255072 411674.84739362326 291825.1794366324 306401.9264838482 320413.4243603936 328490.43936319934 300066.73733729316 340921.676797929 412034.2741244272 352168.48211764824 142324.29053341504 142835.58370491417
2608295.359707041 369809.97948771936 403405.3649710581 385150.80885581014 402123.48387563456 446865.0056543539 418783.5840827689 305523.54667208286 374897.70824896154 389757.047376687 320062.5007374635 322485.6439545783 253171.14739501209 256189.98309398108 349403.23831044027 335182.6758335817 135322.05894487564 129596.51485189918
3414781.6775762294 323783.1140327874 499016.3229978909 379723.66755320836 530205.5774313489 435742.97247461707 314860.12422887573 309160.6656415194 370842.98348997347 390058.1111979 297810.5695246873 325558.8866171288 244816.14087498418 250664.28606360193 300287.7411651201 371879.0243677332 260956.1782707149 261260.2018870829
3687296.3047214565 450879.4403850186 490613.2739205542 535760.3872238679 445338.98606308806 336324.3336646408 304504.93420653493 304037.4332927288 238994.02980864522 250224.89216598918 299966.69731203327 305768.4417258298 259713.28482338972 255737.80075936846 324652.8099914676 323864.4364153418 243117.46726354223 248812.15570410198
3599363.30943112 480347.3718543919 446746.7811285122 389269.3022283297 425011.37348527974 336009.12889305624 303375.30433592136 383148.81889007415 251811.19316688745 262061.97248087125 351829.1606169293 358168.28572078876 271494.8034853603 270080.38950808096 227567.0049697169 261918.6993702913 240587.16356523722 245370.0410710947
